student_id,avg_hours_slept,mode_sleep_rating,avg_dead_line_per_week,E_pre,A_pre,C_pre,N_pre,O_pre,E_post,A_post,C_post,N_post,O_post
1,7.222222222222222,1.5925925925925926,0.9090909090909091,62.5,75.55555555555556,88.88888888888889,55.0,78.0,60.0,75.55555555555556,84.44444444444444,57.5,74.0
2,7.76,2.0,1.0909090909090908,42.5,60.0,84.44444444444444,70.0,64.0,37.5,60.0,77.77777777777777,65.0,60.0
4,6.515151515151516,2.0606060606060606,0.6363636363636364,47.5,62.22222222222222,53.333333333333336,82.5,58.0,55.0,60.0,53.333333333333336,92.5,62.0
5,7.4,1.6,1.5454545454545454,62.5,75.55555555555556,88.88888888888889,55.0,66.0,60.0,75.55555555555556,84.44444444444444,47.5,68.0
7,7.235294117647059,1.8823529411764706,1.8181818181818181,62.5,84.44444444444444,75.55555555555556,45.0,46.0,65.0,82.22222222222223,62.22222222222222,57.5,54.0
8,7.0,1.9024390243902438,1.6363636363636365,52.5,75.55555555555556,84.44444444444444,65.0,66.0,,,,,
9,8.0,1.6666666666666667,0.6363636363636364,47.5,91.11111111111111,53.333333333333336,42.5,66.0,52.5,95.55555555555556,62.22222222222222,40.0,72.0
10,7.840909090909091,2.1136363636363638,1.6363636363636365,40.0,26.666666666666668,95.55555555555556,67.5,72.0,45.0,26.666666666666668,100.0,62.5,80.0
12,7.45,1.75,2.4545454545454546,57.5,71.11111111111111,73.33333333333333,57.5,68.0,,,,,
14,6.966666666666667,1.6666666666666667,2.272727272727273,65.0,73.33333333333333,66.66666666666667,50.0,66.0,65.0,77.77777777777777,73.33333333333333,45.0,68.0
15,7.5625,1.8125,1.1818181818181819,65.0,71.11111111111111,62.22222222222222,55.0,60.0,70.0,68.88888888888889,62.22222222222222,50.0,58.0
16,8.142857142857142,1.9107142857142858,1.3636363636363635,35.0,66.66666666666667,71.11111111111111,85.0,76.0,37.5,66.66666666666667,64.44444444444444,80.0,76.0
17,4.769230769230769,2.6923076923076925,1.0909090909090908,52.5,77.77777777777777,66.66666666666667,62.5,90.0,62.5,75.55555555555556,64.44444444444444,85.0,90.0
18,6.444444444444445,1.7037037037037037,2.1818181818181817,52.5,44.44444444444444,64.44444444444444,75.0,50.0,57.5,40.0,62.22222222222222,77.5,58.0
19,7.836363636363636,1.6545454545454545,2.4545454545454546,35.0,62.22222222222222,68.88888888888889,72.5,64.0,42.5,73.33333333333333,75.55555555555556,80.0,74.0
20,6.454545454545454,1.8181818181818181,1.3636363636363635,77.5,86.66666666666667,66.66666666666667,47.5,72.0,65.0,86.66666666666667,66.66666666666667,50.0,64.0
22,8.6875,1.375,1.2727272727272727,72.5,68.88888888888889,91.11111111111111,57.5,76.0,,,,,
23,7.739130434782608,1.608695652173913,1.0,60.0,73.33333333333333,60.0,75.0,72.0,62.5,71.11111111111111,71.11111111111111,85.0,80.0
24,7.818181818181818,2.227272727272727,1.7272727272727273,70.0,53.333333333333336,46.666666666666664,62.5,70.0,70.0,62.22222222222222,57.77777777777778,62.5,84.0
25,7.5,2.0,1.0,,,,,,,,,,
27,5.266666666666667,2.533333333333333,1.8181818181818181,50.0,77.77777777777777,53.333333333333336,62.5,66.0,42.5,73.33333333333333,55.55555555555556,65.0,66.0
30,7.09375,1.53125,2.3636363636363638,90.0,82.22222222222223,88.88888888888889,40.0,72.0,87.5,82.22222222222223,91.11111111111111,40.0,72.0
31,5.454545454545454,2.5454545454545454,1.0909090909090908,85.0,77.77777777777777,57.77777777777778,62.5,74.0,62.5,60.0,64.44444444444444,67.5,68.0
32,8.022727272727273,2.3636363636363638,2.272727272727273,85.0,84.44444444444444,86.66666666666667,35.0,74.0,82.5,84.44444444444444,91.11111111111111,30.0,76.0
33,6.853658536585366,2.292682926829268,2.5454545454545454,57.5,66.66666666666667,37.77777777777778,72.5,92.0,67.5,77.77777777777777,46.666666666666664,75.0,90.0
34,6.8,1.2,1.0,65.0,86.66666666666667,62.22222222222222,57.5,66.0,65.0,84.44444444444444,62.22222222222222,60.0,64.0
35,7.083333333333333,1.375,1.0,52.5,77.77777777777777,71.11111111111111,52.5,68.0,65.0,73.33333333333333,64.44444444444444,47.5,72.0
36,7.5625,1.96875,,70.0,82.22222222222223,75.55555555555556,35.0,70.0,72.5,86.66666666666667,82.22222222222223,45.0,72.0
39,7.777777777777778,1.0,,67.5,66.66666666666667,62.22222222222222,60.0,70.0,,,,,
41,7.6923076923076925,1.8461538461538463,1.2727272727272727,,,,,,,,,,
42,7.5,1.5833333333333333,1.0,62.5,84.44444444444444,48.888888888888886,50.0,78.0,75.0,86.66666666666667,55.55555555555556,42.5,74.0
43,7.48,2.24,,47.5,82.22222222222223,84.44444444444444,50.0,66.0,45.0,84.44444444444444,82.22222222222223,45.0,64.0
44,9.017543859649123,1.1403508771929824,1.3636363636363635,67.5,73.33333333333333,75.55555555555556,45.0,72.0,55.0,66.66666666666667,68.88888888888889,65.0,66.0
45,7.7272727272727275,1.0909090909090908,1.0,75.0,73.33333333333333,68.88888888888889,62.5,74.0,70.0,73.33333333333333,73.33333333333333,50.0,70.0
46,6.260869565217392,2.347826086956522,1.5454545454545454,62.5,62.22222222222222,71.11111111111111,70.0,84.0,,,,,
47,7.25,1.625,1.3636363636363635,87.5,64.44444444444444,68.88888888888889,40.0,76.0,72.5,66.66666666666667,73.33333333333333,37.5,80.0
49,6.921052631578948,2.0,7.636363636363637,57.5,84.44444444444444,73.33333333333333,50.0,86.0,62.5,86.66666666666667,73.33333333333333,42.5,90.0
50,7.2,2.2,1.3636363636363635,77.5,66.66666666666667,71.11111111111111,50.0,70.0,,,,,
51,7.148148148148148,1.8518518518518519,1.0,67.5,75.55555555555556,75.55555555555556,55.0,80.0,60.0,75.55555555555556,73.33333333333333,45.0,74.0
52,7.304347826086956,1.2608695652173914,1.4545454545454546,32.5,66.66666666666667,44.44444444444444,82.5,70.0,40.0,57.77777777777778,53.333333333333336,95.0,62.0
53,6.555555555555555,2.814814814814815,0.6363636363636364,45.0,80.0,57.77777777777778,90.0,88.0,45.0,75.55555555555556,60.0,87.5,88.0
